"DVD_Title","Studio","Released","Status","Sound","Versions","Price","Rating","Year","Genre","Aspect","UPC","DVD_ReleaseDate","ID","Timestamp","Updated"
"Charlotte's Web 3 Movie Collection: Charlotte's Web (2006) / Charlotte's Web (1973) / Charlotte's Web 2: Wilbur's Great ...","Paramount",,"Out","VAR","LBX, 16:9",14.99,"G","VAR","VAR","VAR","032429261564",2017-01-24 00:00:00,296664,2017-01-24 00:00:00,"1"
"Cherish: The One Word That Changes Everything For Your Marriage (Book w/ DVD)","Zondervan",,"Out","2.0","4:3",36.99,"NR","2017","Special Interest","1.33:1","9780310080763",2017-01-24 00:00:00,291129,2017-01-24 00:00:00,"1"
"Christmas Cookies","Hallmark Entertainment",,"Out","2.0","LBX, 16:9",14.93,"NR","2016","Drama","1.78:1","883476151649",2017-01-03 00:00:00,298480,2017-01-29 00:00:00,"0"
"Christmas Under Wraps","Hallmark Entertainment",,"Out","2.0","LBX, 16:9",14.93,"NR","2014","Drama","1.78:1","883476151625",2017-01-03 00:00:00,298481,2017-01-29 00:00:00,"0"
"Cloverfield (Paramount)","Paramount",,"Out","5.1","LBX, 16:9",6.99,"PG-13","2008","Action/Adventure","1.85:1","032429256560",2017-01-24 00:00:00,296564,2017-01-24 00:00:00,"1"
"Cloverfield (Paramount/ Blu-ray)","Paramount",,"Out","5.1 DTS-HD","LBX, 16:9, BLU-RAY",12.99,"PG-13","2008","Action/Adventure","1.85:1","032429256577",2017-01-24 00:00:00,296578,2017-01-24 00:00:00,"1"
"Clueless (Paramount)","Paramount",,"Out","5.1","LBX, 16:9",6.99,"PG-13","1995","Comedy","1.85:1","032429256607",2017-01-24 00:00:00,296567,2017-01-24 00:00:00,"1"
"Code (2014): Season 2","Acorn Media",,"Out","2.0","LBX, 16:9",39.99,"NR","2015","TV Classics","1.78:1","054961254897",2017-01-24 00:00:00,297033,2017-01-24 00:00:00,"1"
"Collateral (DreamWorks)","DreamWorks",,"Out","5.1","LBX, 16:9",6.99,"R","2004","Thriller","2.40:1","032429256645",2017-01-24 00:00:00,296606,2017-01-24 00:00:00,"1"
"Collateral (DreamWorks/ Blu-ray)","DreamWorks",,"Out","5.1 DTS-HD","LBX, 16:9, BLU-RAY",12.99,"R","2004","Thriller","2.40:1","032429256652",2017-01-24 00:00:00,296591,2017-01-24 00:00:00,"1"
"Color Of Rain","Hallmark Entertainment",2017-02-07 00:00:00,"Pending","2.0","LBX, 16:9",14.93,"NR","2014","Drama","1.78:1","883476144870",2017-02-07 00:00:00,298488,2017-01-29 00:00:00,"0"
"Coming To America (Paramount)","Paramount",,"Out","5.1","LBX, 16:9",6.99,"R","1988","Comedy","1.85:1","032429256669",2017-01-24 00:00:00,296556,2017-01-24 00:00:00,"1"
"Concrete Love: The Architecture Of The Bohm Family","First Run Features",2017-04-04 00:00:00,"Pending","SUB","LBX, 16:9",24.95,"NR","2014","Foreign","1.85:1","720229917292",2017-04-04 00:00:00,298421,2017-01-26 00:00:00,"0"
"Contamination .7 (a.k.a. Creepers, The Crawlers And Troll 3/ Blu-ray)","Shout! Factory",2017-04-18 00:00:00,"Pending","2.0","LBX, 16:9, BLU-RAY",27.99,"R","1993","Horror","1.85:1","826663174618",2017-04-18 00:00:00,298400,2017-01-24 00:00:00,"0"
"Cosmo Warrior Zero (Anime Works) #1 - 4: Collected Edition","Anime Works",,"Discontinued","SUB","4:3",39.96,"MA13","2001","Anime","1.33:1","631595033625",2003-09-30 00:00:00,30786,2017-01-26 00:00:00,"1"
"Cosmo Warrior Zero (Anime Works) #1: Cold Steel Immortals","Anime Works",,"Discontinued","SUB","4:3",29.98,"MA13","2001","Anime","1.33:1","631595022070",2002-07-30 00:00:00,17968,2017-01-26 00:00:00,"1"
"Cosmo Warrior Zero (Anime Works) #2: Sea Of Stars","Anime Works",,"Discontinued","SUB","4:3",24.98,"MA13","2001","Anime","1.33:1","631595022872",2002-09-24 00:00:00,19831,2017-01-26 00:00:00,"1"
"Cosmo Warrior Zero (Anime Works) #3: A Soldier's Odyssey","Anime Works",,"Discontinued","SUB","4:3",24.98,"MA13","2001","Anime","1.33:1","631595024074",2002-11-19 00:00:00,23316,2017-01-26 00:00:00,"1"
"Cosmo Warrior Zero (Anime Works) #4: Journey's End","Anime Works",,"Discontinued","SUB","4:3",24.98,"MA13","2001","Anime","1.33:1","631595030372",2003-02-25 00:00:00,25690,2017-01-26 00:00:00,"1"
"Cosmo Warrior Zero (Discotek Media): Complete Series","Discotek Media",2017-01-31 00:00:00,"Pending","SUB","4:3",39.95,"MA13","2001","Anime","1.33:1","875707143097",2017-01-31 00:00:00,298429,2017-01-26 00:00:00,"0"
"Crime Scene Cleaner: Season 2","MHz Networks",,"Out","SUB","LBX, 16:9",29.95,"NR","2013","Foreign","1.78:1","815047019072",2017-01-24 00:00:00,297574,2017-01-24 00:00:00,"1"
"Curious Case Of Benjamin Button (Paramount)","Paramount",,"Out","5.1","LBX, 16:9",6.99,"PG-13","2008","Drama","2.35:1","032429256706",2017-01-24 00:00:00,296570,2017-01-24 00:00:00,"1"
"Curious Case Of Benjamin Button (Paramount/ Blu-ray)","Paramount",,"Out","5.1 DTS-HD","LBX, 16:9, BLU-RAY",15.99,"PG-13","2008","Drama","2.35:1","032429256713",2017-01-24 00:00:00,296597,2017-01-24 00:00:00,"1"
"Curtis Harrington Short Film Collection (Blu-Ray/ On Demand DVD-R): Fragment Of Seeking / Picnic / On The Edge / ...","Flicker Alley",,"Out","2.0","LBX, 16:9, BLU-RAY",19.95,"NR","VAR","VAR","VAR","818522016153",2017-01-20 00:00:00,298507,2017-01-29 00:00:00,"0"
"Daft Punks Electroma (w/ Book)","Vice Records",,"Discontinued","2.0","LBX, 16:9",22.99,"NR","2006","SciFi","1.85:1","883888000399",2008-07-22 00:00:00,132705,2017-01-24 00:00:00,"1"
"Daniel Boone (1964/ Shout! Factory): Season 3","Shout! Factory",,"Out","2.0","4:3",24.99,"NR","1966","TV Classics","1.33:1","826663172584",2017-01-24 00:00:00,296780,2017-01-24 00:00:00,"1"
"Dater's Handbook (On Demand DVD-R)","Hallmark Entertainment",,"Out","2.0","LBX, 16:9",18.98,"NR","2016","Drama","1.78:1","883476152738",2017-01-24 00:00:00,297709,2017-01-24 00:00:00,"1"
"Dead Reckoning: War, Crime And Justice From WW2 To The War On Terror","PBS",,"Out","2.0","LBX, 16:9",24.99,"NR","2016","Documentary","1.78:1","841887028769",2017-01-24 00:00:00,296786,2017-01-24 00:00:00,"1"
"Desirable (Archive Collection/ On Demand DVD-R)","Warner Brothers Digital Dist.",2017-01-31 00:00:00,"Pending","2.0","4:3",21.99,"NR","1934","Drama","1.33:1","888574460303",2017-01-31 00:00:00,298431,2017-01-26 00:00:00,"0"
